date,carrier,manufacturer,device_nm,product_group_nm,storage,dealer,join_type,support_type,rate_plan,rate_plan_month_fee,retail_price,total_support_fee,dealer_subsidy,origin_installment_principal,origin_month_device_price,origin_month_price,month_rate_plan_price,installment_principal,month_device_price,month_price,margin,margin_amount
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,번호이동,공시,5G 심플 30GB,61000.0,1353000.0,111000.0,230000.0,1012000.0,42167.0,94257.0,52090,1416800.0,59033.0,111123.0,0.4,404800.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,번호이동,공시,5G 슬림 4GB,37000.0,1353000.0,69000.0,140000.0,1144000.0,47667.0,66180.0,18513,1601600.0,66733.0,85246.0,0.4,457600.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,번호이동,선약,티빙/지니/밀리 초이스 스페셜,110000.0,1353000.0,0.0,440000.0,913000.0,38042.0,82939.0,44897,1313000.0,54708.0,99605.0,0.43811610076670315,400000.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,번호이동,선약,스페셜,100000.0,1353000.0,0.0,390000.0,963000.0,40125.0,83687.0,43562,1363000.0,56792.0,100354.0,0.4153686396677051,400000.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,번호이동,선약,티빙/지니/밀리 초이스 베이직,90000.0,1353000.0,0.0,390000.0,963000.0,40125.0,82351.0,42226,1363000.0,56792.0,99018.0,0.4153686396677051,400000.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,번호이동,선약,5G 심플 30GB,61000.0,1353000.0,0.0,230000.0,1123000.0,46792.0,85145.0,38353,1572200.0,65508.0,103861.0,0.4,449200.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,번호이동,선약,5G 슬림 4GB,37000.0,1353000.0,0.0,140000.0,1213000.0,50542.0,62943.0,12401,1698200.0,70758.0,83159.0,0.4,485200.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,기기변경,공시,티빙/지니/밀리 초이스 스페셜,110000.0,1353000.0,201000.0,280000.0,872000.0,36333.0,101043.0,64710,1272248.0,53010.0,117720.0,0.459,400248.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,기기변경,공시,스페셜,100000.0,1353000.0,183000.0,280000.0,890000.0,37083.0,99217.0,62134,1290000.0,53750.0,115884.0,0.449438202247191,400000.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,기기변경,공시,티빙/지니/밀리 초이스 베이직,90000.0,1353000.0,150000.0,280000.0,923000.0,38458.0,98017.0,59559,1323000.0,55125.0,114684.0,0.4333694474539545,400000.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,기기변경,공시,5G 심플 30GB,61000.0,1353000.0,111000.0,180000.0,1062000.0,44250.0,96340.0,52090,1486800.0,61950.0,114040.0,0.4,424800.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,기기변경,공시,5G 슬림 4GB,37000.0,1353000.0,69000.0,90000.0,1194000.0,49750.0,68263.0,18513,1671600.0,69650.0,88163.0,0.4,477600.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,기기변경,선약,티빙/지니/밀리 초이스 스페셜,110000.0,1353000.0,0.0,280000.0,1073000.0,44708.0,89605.0,44897,1502200.0,62592.0,107489.0,0.4,429200.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,기기변경,선약,스페셜,100000.0,1353000.0,0.0,280000.0,1073000.0,44708.0,88270.0,43562,1502200.0,62592.0,106154.0,0.4,429200.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,기기변경,선약,티빙/지니/밀리 초이스 베이직,90000.0,1353000.0,0.0,280000.0,1073000.0,44708.0,86934.0,42226,1502200.0,62592.0,104818.0,0.4,429200.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,기기변경,선약,5G 심플 30GB,61000.0,1353000.0,0.0,180000.0,1173000.0,48875.0,87228.0,38353,1642200.0,68425.0,106778.0,0.4,469200.0
2025. 7. 14,KT,삼성,SM-S936,갤럭시 S25 플러스,256GB,맥스,기기변경,선약,5G 슬림 4GB,37000.0,1353000.0,0.0,90000.0,1263000.0,52625.0,65026.0,12401,1768200.0,73675.0,86076.0,0.4,505200.0
2025. 7. 14,KT,삼성,SM-S938,갤럭시 S25 울트라,256GB,맥스,번호이동,공시,티빙/지니/밀리 초이스 스페셜,110000.0,1698400.0,500000.0,440000.0,758400.0,31600.0,96310.0,64710,1158400.0,48267.0,112977.0,0.5274261603375527,400000.0
2025. 7. 14,KT,삼성,SM-S938,갤럭시 S25 울트라,256GB,맥스,번호이동,공시,스페셜,100000.0,1698400.0,500000.0,390000.0,808400.0,33683.0,95817.0,62134,1208558.0,50357.0,112491.0,0.495,400158.0
2025. 7. 14,KT,삼성,SM-S938,갤럭시 S25 울트라,256GB,맥스,번호이동,공시,티빙/지니/밀리 초이스 베이직,90000.0,1698400.0,500000.0,390000.0,808400.0,33683.0,93242.0,59559,1208558.0,50357.0,109916.0,0.495,400158.0
